Observation station,Year,Month,Day,Time [Local time],Snow depth mean [cm]
"Sodankylä Tähtelä","2017","11","03","11:50","10"
"Sodankylä Tähtelä","2017","11","03","12:00","10"
"Sodankylä Tähtelä","2017","11","03","12:10","10"
"Sodankylä Tähtelä","2017","11","03","12:20","10"
"Sodankylä Tähtelä","2017","11","03","12:30","10"
"Sodankylä Tähtelä","2017","11","03","12:40","10"
"Sodankylä Tähtelä","2017","11","03","12:50","10"
"Sodankylä Tähtelä","2017","11","03","13:00","10.2"
"Sodankylä Tähtelä","2017","11","03","13:10","10"
"Sodankylä Tähtelä","2017","11","03","13:20","10"
"Sodankylä Tähtelä","2017","11","03","13:30","10"
"Sodankylä Tähtelä","2017","11","03","13:40","10"
"Sodankylä Tähtelä","2017","11","03","13:50","10"
"Sodankylä Tähtelä","2017","11","03","14:00","10"
"Sodankylä Tähtelä","2017","11","03","14:10","10"
"Sodankylä Tähtelä","2017","11","03","14:20","10"
"Sodankylä Tähtelä","2017","11","03","14:30","10"
"Sodankylä Tähtelä","2017","11","03","14:40","10"
"Sodankylä Tähtelä","2017","11","03","14:50","10"
"Sodankylä Tähtelä","2017","11","03","15:00","10"
"Sodankylä Tähtelä","2017","11","03","15:10","10"
"Sodankylä Tähtelä","2017","11","03","15:20","10"
"Sodankylä Tähtelä","2017","11","03","15:30","10"
"Sodankylä Tähtelä","2017","11","03","15:40","10"
"Sodankylä Tähtelä","2017","11","03","15:50","10"
"Sodankylä Tähtelä","2017","11","03","16:00","10"
"Sodankylä Tähtelä","2017","11","03","16:10","10"
"Sodankylä Tähtelä","2017","11","03","16:20","10"
"Sodankylä Tähtelä","2017","11","03","16:30","10"
"Sodankylä Tähtelä","2017","11","03","16:40","10"
"Sodankylä Tähtelä","2017","11","03","16:50","10"
"Sodankylä Tähtelä","2017","11","03","17:00","10"
"Sodankylä Tähtelä","2017","11","03","17:10","10"
"Sodankylä Tähtelä","2017","11","03","17:20","10"
"Sodankylä Tähtelä","2017","11","03","17:30","10"
"Sodankylä Tähtelä","2017","11","03","17:40","10"
"Sodankylä Tähtelä","2017","11","03","17:50","10"
"Sodankylä Tähtelä","2017","11","03","18:00","10"
"Sodankylä Tähtelä","2017","11","03","18:10","10"
"Sodankylä Tähtelä","2017","11","03","18:20","10"
"Sodankylä Tähtelä","2017","11","03","18:30","10"
"Sodankylä Tähtelä","2017","11","03","18:40","10"
"Sodankylä Tähtelä","2017","11","03","18:50","10"
"Sodankylä Tähtelä","2017","11","03","19:00","10"
"Sodankylä Tähtelä","2017","11","03","19:10","10"
"Sodankylä Tähtelä","2017","11","03","19:20","10"
"Sodankylä Tähtelä","2017","11","03","19:30","10"
"Sodankylä Tähtelä","2017","11","03","19:40","10"
"Sodankylä Tähtelä","2017","11","03","19:50","10"
"Sodankylä Tähtelä","2017","11","03","20:00","10"
"Sodankylä Tähtelä","2017","11","03","20:10","10"
"Sodankylä Tähtelä","2017","11","03","20:20","10"
"Sodankylä Tähtelä","2017","11","03","20:30","10"
"Sodankylä Tähtelä","2017","11","03","20:40","10"
"Sodankylä Tähtelä","2017","11","03","20:50","10"
"Sodankylä Tähtelä","2017","11","03","21:00","10"
"Sodankylä Tähtelä","2017","11","03","21:10","10"
"Sodankylä Tähtelä","2017","11","03","21:20","10"
"Sodankylä Tähtelä","2017","11","03","21:30","10"
"Sodankylä Tähtelä","2017","11","03","21:40","10"
"Sodankylä Tähtelä","2017","11","03","21:50","10"
"Sodankylä Tähtelä","2017","11","03","22:00","10"
"Sodankylä Tähtelä","2017","11","03","22:10","10"
"Sodankylä Tähtelä","2017","11","03","22:20","10"
"Sodankylä Tähtelä","2017","11","03","22:30","10"
"Sodankylä Tähtelä","2017","11","03","22:40","10"
"Sodankylä Tähtelä","2017","11","03","22:50","10"
"Sodankylä Tähtelä","2017","11","03","23:00","10"
"Sodankylä Tähtelä","2017","11","03","23:10","10"
"Sodankylä Tähtelä","2017","11","03","23:20","10"
"Sodankylä Tähtelä","2017","11","03","23:30","10"
"Sodankylä Tähtelä","2017","11","03","23:40","10"
"Sodankylä Tähtelä","2017","11","03","23:50","10"
"Sodankylä Tähtelä","2017","11","04","00:00","10.3"
"Sodankylä Tähtelä","2017","11","04","00:10","11"
"Sodankylä Tähtelä","2017","11","04","00:20","11"
"Sodankylä Tähtelä","2017","11","04","00:30","11"
"Sodankylä Tähtelä","2017","11","04","00:40","11"
"Sodankylä Tähtelä","2017","11","04","00:50","11"
"Sodankylä Tähtelä","2017","11","04","01:00","11"
"Sodankylä Tähtelä","2017","11","04","01:10","11"
"Sodankylä Tähtelä","2017","11","04","01:20","11"
"Sodankylä Tähtelä","2017","11","04","01:30","11"
"Sodankylä Tähtelä","2017","11","04","01:40","11"
"Sodankylä Tähtelä","2017","11","04","01:50","11"
"Sodankylä Tähtelä","2017","11","04","02:00","11"
"Sodankylä Tähtelä","2017","11","04","02:10","11"
"Sodankylä Tähtelä","2017","11","04","02:20","11"
"Sodankylä Tähtelä","2017","11","04","02:30","10.7"
"Sodankylä Tähtelä","2017","11","04","02:40","11"
"Sodankylä Tähtelä","2017","11","04","02:50","10.6"
"Sodankylä Tähtelä","2017","11","04","03:00","10.5"
"Sodankylä Tähtelä","2017","11","04","03:10","11"
"Sodankylä Tähtelä","2017","11","04","03:20","11"
"Sodankylä Tähtelä","2017","11","04","03:30","11"
"Sodankylä Tähtelä","2017","11","04","03:40","11"
"Sodankylä Tähtelä","2017","11","04","03:50","11"
"Sodankylä Tähtelä","2017","11","04","04:00","11"
"Sodankylä Tähtelä","2017","11","04","04:10","11"
"Sodankylä Tähtelä","2017","11","04","04:20","11"
"Sodankylä Tähtelä","2017","11","04","04:30","10.8"
"Sodankylä Tähtelä","2017","11","04","04:40","10.3"
"Sodankylä Tähtelä","2017","11","04","04:50","11"
"Sodankylä Tähtelä","2017","11","04","05:00","11"
"Sodankylä Tähtelä","2017","11","04","05:10","10.1"
"Sodankylä Tähtelä","2017","11","04","05:20","10.2"
"Sodankylä Tähtelä","2017","11","04","05:30","11"
"Sodankylä Tähtelä","2017","11","04","05:40","11"
"Sodankylä Tähtelä","2017","11","04","05:50","11"
"Sodankylä Tähtelä","2017","11","04","06:00","11"
"Sodankylä Tähtelä","2017","11","04","06:10","11"
"Sodankylä Tähtelä","2017","11","04","06:20","10.8"
"Sodankylä Tähtelä","2017","11","04","06:30","10"
"Sodankylä Tähtelä","2017","11","04","06:40","10.2"
"Sodankylä Tähtelä","2017","11","04","06:50","10.5"
"Sodankylä Tähtelä","2017","11","04","07:00","10"
"Sodankylä Tähtelä","2017","11","04","07:10","10"
"Sodankylä Tähtelä","2017","11","04","07:20","10"
"Sodankylä Tähtelä","2017","11","04","07:30","10"
"Sodankylä Tähtelä","2017","11","04","07:40","10"
"Sodankylä Tähtelä","2017","11","04","07:50","10.1"
"Sodankylä Tähtelä","2017","11","04","08:00","10"
"Sodankylä Tähtelä","2017","11","04","08:10","10"
"Sodankylä Tähtelä","2017","11","04","08:20","10"
"Sodankylä Tähtelä","2017","11","04","08:30","10"
"Sodankylä Tähtelä","2017","11","04","08:40","10"
"Sodankylä Tähtelä","2017","11","04","08:50","10"
"Sodankylä Tähtelä","2017","11","04","09:00","10"
"Sodankylä Tähtelä","2017","11","04","09:10","10"
"Sodankylä Tähtelä","2017","11","04","09:20","10"
